gene_name	count	amino_acid_length	length
C21orf140	0	0	755
C21orf37	0	0	10295
C21orf49	0	0	121632
C21orf54	0	0	4765
C21orf58	0	0	23694
C21orf62	0	0	20163
C21orf67	0	0	7099
C21orf88	0	0	15674
C21orf90	0	0	8736
C22orf34	0	0	243014
C22orf46	0	0	9197
C2ORF15	0	0	10002
C2orf27A	0	0	45025
C2orf27B	0	0	6700
C2orf61	0	0	109840
C2orf74	0	0	19721
C2orf81	0	0	7414
C2orf91	0	0	18898
C3orf22	0	0	31966
C3orf33	0	0	43739
C3orf35	0	0	49228
C3orf38	0	0	18986
C3orf49	0	0	29274
C3orf52	0	0	44669
C3orf56	0	0	5051
C3orf65	0	0	17259
C3orf80	0	0	2576
C3orf83	0	0	46125
C3orf84	0	0	14226
C4B	0	0	14289
C4B_2	0	0	20657
C4orf32	0	0	49859
C4orf45	0	0	145626
C4orf46	0	0	5576
C4orf50	0	0	32700
C5orf17	0	0	226915
C5orf20	0	0	3133
C5orf27	0	0	7901
C5orf34	0	0	28444
C5orf63	0	0	30934
C5orf64	0	0	114055
C5orf66	0	0	322774
C6orf100	0	0	660
C6orf123	0	0	12322
C6orf141	0	0	11507
C6orf163	0	0	20614
C6orf164	0	0	2627
C6ORF165	0	0	56482
C6orf205	0	0	6190
C6orf222	0	0	21128
C6orf223	0	0	5378
C6orf226	0	0	549
C6orf229	0	0	1568
C6orf48	0	0	5152
C6ORF50	0	0	1463
C6orf99	0	0	40414
C7orf13	0	0	2291
C7orf55	0	0	6862
C7orf55-LUC7L2	0	0	83093
C7orf57	0	0	25793
C7orf60	0	0	120769
C7orf66	0	0	612
C7orf73	0	0	30922
C7orf76	0	0	21897
C8orf12	0	0	70256
C8orf17	0	0	2774
C8orf22	0	0	21779
C8orf4	0	0	1832
C8orf44-SGK3	0	0	192876
C8orf49	0	0	1413
C8orf56	0	0	8512
C8orf59	0	0	6339
C8orf82	0	0	3399
C8orf87	0	0	32755
C8orf88	0	0	26620
C9orf141	0	0	2747
C9orf147	0	0	53388
C9orf16	0	0	3668
C9orf37	0	0	3574
C9orf38	0	0	2757
C9orf53	0	0	601
C9orf62	0	0	3313
C9orf69	0	0	4304
C9orf89	0	0	17065
C9orf91	0	0	35216
C9orf92	0	0	72378
CA2	0	0	17641
CA3	0	0	75604
CA5B	0	0	98794
CA6	0	0	29225
CACNA1B	0	0	246835
CACNA1E	0	0	394981
CACNA2D3	0	0	952010
CALB1	0	0	36867
CALCB	0	0	177345
CALM2	0	0	16519
CALML3	0	0	1301
CALML6	0	0	2469
CALN1	0	0	667660
CAPN15	0	0	26919
CAPN8	0	0	142087
CAPNS2	0	0	1015
CAPZB	0	0	146799
CARD18	0	0	2005
CARF	0	0	74849
CASC10	0	0	4604
CASP12	0	0	12952
CASP16	0	0	5744
CATX-2	0	0	110
CBL	0	0	102107
CBWD7	0	0	46354
CBX1	0	0	31469
CCAR2	0	0	16882
CCDC126	0	0	47329
CCDC134	0	0	25620
CCDC141	0	0	220329
CCDC154	0	0	10173
CCDC163P	0	0	6213
CCDC166	0	0	1415
CCDC168	0	0	7358
CCDC172	0	0	55601
CCDC175	0	0	72292
CCDC177	0	0	2123
CCDC179	0	0	13495
CCDC180	0	0	140041
CCDC181	0	0	65799
CCDC182	0	0	831
CCDC183	0	0	11391
CCDC18	0	0	98811
CCDC23	0	0	10231
CCDC25	0	0	39335
CCDC57	0	0	111370
CCDC67	0	0	108516
CCDC71L	0	0	4231
CCER2	0	0	3178
CCK	0	0	8382
CCL11	0	0	2666
CCL1	0	0	2903
CCL15-CCL14	0	0	17968
CCL19	0	0	1710
CCL20	0	0	3714
CCL26	0	0	20363
CCL27	0	0	2168
CCL28	0	0	35746
CCL3L1	0	0	1889
CCL3L3	0	0	1889
CCL4L1	0	0	1970
CCL5	0	0	9302
CCNE2	0	0	16908
CD207	0	0	5605
CD24	0	0	4922
CD59	0	0	38184
CD8A	0	0	23790
CD8B	0	0	46585
CD99	0	0	50130
CDC23	0	0	25693
CDC42SE1	0	0	19354
CDH13	0	0	1169796
CDH1	0	0	98323
CDK11B	0	0	19870
CDK2	0	0	6015
CDK2AP1	0	0	11353
CDK4	0	0	8286
CDK5	0	0	4718
CDK5R1	0	0	4637
CDKN2A	0	0	27549
CDKN2C	0	0	13888
CDKN2D	0	0	2597
CDPF1	0	0	6668
CDRT15L2	0	0	1187
CDRT4	0	0	67590
CDX4	0	0	7991
CDY1	0	0	2785
CDY1B	0	0	2790
CDY2A	0	0	2810
CDY2B	0	0	2810
CEACAM16	0	0	11565
CEBPA	0	0	2630
CEBPG	0	0	9356
CEBPZ-AS1	0	0	19705
CECR2	0	0	197013
CENPA	0	0	36778
CENPC	0	0	73803
CENPM	0	0	8443
CENPU	0	0	39515
CEP290	0	0	93200
CEPT1	0	0	45475
CFC1	0	0	6784
CFC1B	0	0	6809
CFL2	0	0	4436
CGB	0	0	1464
CGB2	0	0	1326
CGB5	0	0	1427
CGB8	0	0	1505
CGGBP1	0	0	97941
CH17-132F21.1	0	0	470
CH25H	0	0	1377
CHCHD10	0	0	2609
CHCHD1	0	0	1605
CHCHD3	0	0	297219
CHCHD5	0	0	5035
CHKB-CPT1B	0	0	14096
CHMP1A	0	0	13414
CHMP1B	0	0	3053
CHST14	0	0	2193
CHST3	0	0	49199
CHSY1	0	0	76209
CHTF8	0	0	14574
CIPC	0	0	19190
CISD1	0	0	20528
CISH	0	0	5341
CKLF-CMTM1	0	0	26548
CKS2	0	0	5505
CLASP1	0	0	311811
CLASP2	0	0	222111
CLDN10	0	0	146155
CLDN19	0	0	7161
CLDN2	0	0	30697
CLDN23	0	0	2168
CLDN24	0	0	662
CLEC12B	0	0	7992
CLEC19A	0	0	36406
CLEC2L	0	0	21128
CLEC4C	0	0	22190
CLEC6A	0	0	22404
CLIC4	0	0	98967
CLLU1	0	0	9471
CLLU1OS	0	0	8054
CLPSL2	0	0	2958
CLTA	0	0	113925
CLTB	0	0	24114
CLYBL	0	0	290468
CMC2	0	0	44177
CMIP	0	0	266592
CMPK2	0	0	26065
CMTR1	0	0	49608
CMTR2	0	0	8326
CNBD1	0	0	748777
CNEP1R1	0	0	12678
CNIH1	0	0	14495
CNIH3	0	0	305889
CNOT8	0	0	19240
CNTD2	0	0	4482
CNTN5	0	0	1337933
CNTNAP3B	0	0	239147
CNTNAP4	0	0	281959
CNTROB	0	0	17817
COA5	0	0	9205
COA6	0	0	10593
COA7	0	0	11530
COL18A1	0	0	108582
COL21A1	0	0	337504
COL6A5	0	0	139329
COLCA1	0	0	11656
COLCA2	0	0	9895
COLGALT1	0	0	27568
COLGALT2	0	0	108067
COMMD3-BMI1	0	0	13154
COMMD6	0	0	24225
COMMD7	0	0	41310
COPG2	0	0	186320
COPS8	0	0	15154
COPZ2	0	0	11859
CORO1C	0	0	86487
CORO2B	0	0	148837
COX19	0	0	76820
COX6A1	0	0	2652
COX6A1P2	0	0	570
COX6B1	0	0	10638
COX6B2	0	0	5508
COX7B	0	0	7935
COX7C	0	0	3058
COX8A	0	0	1936
COX8C	0	0	1165
CPEB2	0	0	67479
CPEB4	0	0	73696
CPLX4	0	0	43493
CPXCR1	0	0	7560
CR354443.1	0	0	31391
CR354443.3	0	0	162138
CR382280.5	0	0	3902
CR388219.1	0	0	245
CR392000.1	0	0	1227
CR547129.1	0	0	11909
CR753651.1	0	0	107
CR753815.1	0	0	59686
CR753819.1	0	0	117
CR753820.1	0	0	2707
CR753842.1	0	0	31384
CR753845.1	0	0	936
CR753846.2	0	0	905
CR753846.3	0	0	3765
CR753864.1	0	0	476
CR759761.1	0	0	31391
CR759772.2	0	0	608
CR759782.1	0	0	245
CR759784.1	0	0	855
CR759784.2	0	0	689
CR759787.1	0	0	162166
CR759793.1	0	0	3166
CR759795.1	0	0	2379
CR759815.1	0	0	117
CR759815.2	0	0	16100
CR759848.1	0	0	3765
CR759904.1	0	0	2379
CR762481.2	0	0	3899
CR769776.1	0	0	2695
CR847794.1	0	0	16100
CR847794.2	0	0	117
CR847849.1	0	0	2379
CR925767.1	0	0	10851
CR933877.1	0	0	855
CR933877.2	0	0	689
CR936921.1	0	0	3756
CRABP2	0	0	6210
CRADD	0	0	217465
CREB3L1	0	0	43760
CREBBP	0	0	155672
CREBL2	0	0	33281
CRIP3	0	0	9087
CRLF2	0	0	16726
CRX	0	0	23884
CRYBG3	0	0	53248
CRYGB	0	0	3595
CRYGN	0	0	11978
CSAG1	0	0	6251
CSAG2	0	0	1004
CSDC2	0	0	16978
CSMD1	0	0	2059619
CSNK2A3	0	0	1415
CSNK2B-LY6G5B-1181	0	0	6348
CST6	0	0	1664
CST7	0	0	10698
CT009496.1	0	0	3445
CT45A1	0	0	10169
CT45A2	0	0	8400
CT45A3	0	0	77487
CT45A6	0	0	8395
CT476828.1	0	0	1696
CT47A12	0	0	54807
CT47A5	0	0	8179
CT47A6	0	0	3312
CT55	0	0	14861
CT83	0	0	1315
CTA-299D3.8	0	0	8487
CTAG1A	0	0	1662
CTAG1B	0	0	1668
CTAGE15	0	0	2586
CTAGE4	0	0	2587
CTAGE6	0	0	2607
CTAGE8	0	0	2587
CTB-129P6.11	0	0	3963
CTB-133G6.1	0	0	34423
CTB-134H23.2	0	0	14124
CTB-167G5.5	0	0	3869
CTB-186H2.3	0	0	6614
CTB-50L17.14	0	0	11640
CTB-58E17.5	0	0	1356
CTB-60B18.6	0	0	13942
CTB-78H18.1	0	0	1087
CTC-236F12.4	0	0	24151
CTC-241N9.1	0	0	2270
CTC-260F20.3	0	0	19849
CTC-273B12.7	0	0	6594
CTC-326K19.6	0	0	48890
CTC-360G5.8	0	0	34451
CTC-398G3.6	0	0	39458
CTC-429P9.4	0	0	82473
CTC-432M15.3	0	0	371092
CTC-435M10.3	0	0	74148
CTC-454I21.3	0	0	117493
CTC-479C5.12	0	0	6403
CTC-487M23.8	0	0	31891
CTC-490E21.12	0	0	96985
CTC-512J12.6	0	0	71926
CTC-534A2.2	0	0	6126
CTC-554D6.1	0	0	40369
CTC-786C10.1	0	0	14087
CTD-2006C1.10	0	0	35079
CTD-2014B16.3	0	0	47226
CTD-2021H9.3	0	0	70845
CTD-2054N24.2	0	0	70125
CTD-2105E13.6	0	0	7215
CTD-2116N17.1	0	0	193433
CTD-2117L12.1	0	0	16676
CTD-2132N18.3	0	0	35242
CTD-2140B24.4	0	0	71385
CTD-2144E22.5	0	0	771
CTD-2162K18.4	0	0	3925
CTD-2192J16.20	0	0	55255
CTD-2192J16.22	0	0	4566
CTD-2203A3.1	0	0	72956
CTD-2207O23.10	0	0	6464
CTD-2207O23.12	0	0	12570
CTD-2210P24.4	0	0	926
CTD-2215E18.1	0	0	94575
CTD-2228K2.5	0	0	6974
CTD-2260A17.2	0	0	121782
CTD-2267D19.3	0	0	4038
CTD-2278I10.6	0	0	15548
CTD-2287O16.3	0	0	36537
CTD-2330K9.3	0	0	13092
CTD-2349B8.1	0	0	59576
CTD-2368P22.1	0	0	9171
CTD-2369P2.10	0	0	10582
CTD-2369P2.12	0	0	5207
CTD-2410N18.5	0	0	58901
CTD-2528L19.4	0	0	29323
CTD-2535L24.2	0	0	102931
CTD-2545G14.7	0	0	4208
CTD-2545M3.6	0	0	12610
CTD-2547L24.3	0	0	8323
CTD-2561J22.3	0	0	86107
CTD-2583A14.9	0	0	39826
CTD-2587H24.4	0	0	5914
CTD-2600O9.1	0	0	18752
CTD-2616J11.11	0	0	17726
CTD-2626G11.1	0	0	31116
CTD-3074O7.11	0	0	24534
CTD-3088G3.8	0	0	163742
CTD-3105H18.14	0	0	22085
CTD-3105H18.18	0	0	51713
CTD-3138B18.4	0	0	57342
CTD-3148I10.9	0	0	23479
CTD-3193O13.9	0	0	5721
CTD-3203P2.2	0	0	22287
CTD-3214H19.4	0	0	13252
CTD-3222D19.2	0	0	149137
CTLA4	0	0	6174
CTNNB1	0	0	65259
CTSL	0	0	5874
CTSV	0	0	6985
CU151838.1	0	0	6895
CU151838.2	0	0	13079
CU151839.1	0	0	41120
CU234142.1	0	0	11285
CU457734.1	0	0	6895
CU457734.2	0	0	13074
CU457734.3	0	0	6743
CU459201.1	0	0	21707
CU467002.1	0	0	1502
CU467002.2	0	0	13131
CU467816.1	0	0	5626
CUL5	0	0	99044
CUTC	0	0	53576
CWC15	0	0	10989
CXCL12	0	0	88903
CXCL13	0	0	100081
CXCL17	0	0	14760
CXorf24	0	0	1237
CXorf28	0	0	12833
CXorf30	0	0	156696
CXorf31	0	0	12286
CXorf38	0	0	18534
CXorf40A	0	0	10155
CXorf57	0	0	67512
CXorf65	0	0	2899
CXorf67	0	0	1920
CXXC1	0	0	5961
CXXC5	0	0	36583
CYB561A3	0	0	13554
CYB561D1	0	0	8880
CYB5A	0	0	38721
CYBRD1	0	0	35886
CYCS	0	0	5270
CYFIP2	0	0	129517
CYorf17	0	0	3406
CYP4F31P	0	0	5797
CYTH2	0	0	13282
CYYR1	0	0	107075
DAAM2	0	0	112506
DACH1	0	0	429232
DAPK3	0	0	12670
DAPL1	0	0	67464
DAQB-331I12.15	0	0	10441
DASS-161H22.6	0	0	16363
DASS-312M4.10	0	0	11018
DAW1	0	0	53290
DAZ1	0	0	69739
DAZ2	0	0	71909
DAZ3	0	0	50410
DAZ4	0	0	73175
DAZAP2	0	0	33070
DBI	0	0	5629
DBX1	0	0	4458
DCAF16	0	0	10103
DCAF7	0	0	43817
DCAF8L2	0	0	158409
DCD	0	0	3902
DCDC1	0	0	539441
DCDC2C	0	0	84669
DCP1A	0	0	64207
DCTN3	0	0	6967
DCUN1D5	0	0	30139
DCXR	0	0	2596
DDA1	0	0	13783
DDAH2	0	0	3579
DDC8	0	0	32307
DDIT3	0	0	3929
DDIT4	0	0	2116
DDT	0	0	9106
DEC1	0	0	260826
DEFA1	0	0	2431
DEFA1B	0	0	21490
DEFB103A	0	0	1460
DEFB103B	0	0	1460
DEFB104A	0	0	4771
DEFB104B	0	0	4774
DEFB105B	0	0	1924
DEFB106A	0	0	3881
DEFB106B	0	0	3896
DEFB107A	0	0	3996
DEFB107B	0	0	13465
DEFB108B	0	0	4510
DEFB110	0	0	12843
DEFB113	0	0	948
DEFB115	0	0	1968
DEFB121	0	0	7993
DEFB127	0	0	1693
DEFB129	0	0	2628
DEFB130	0	0	7354
DEFB131	0	0	5980
DEFB133	0	0	3343
DEFB134	0	0	3129
DEFB135	0	0	2269
DEFB4B	0	0	2003
DESI1	0	0	23068
DGKK	0	0	101842
DHFRL1	0	0	15553
DHRS4-AS1	0	0	1256
DHRS7C	0	0	19863
DIRAS1	0	0	6851
DIRC3	0	0	472574
DIXDC1	0	0	95440
DKFZP434A062	0	0	551
DKFZP434E1119	0	0	3658
DKFZP434H0512	0	0	2408
DKFZP434O1614	0	0	1677
DKFZP547L112	0	0	680
DKFZP667F0711	0	0	2445
DKFZP761K2322	0	0	2662
DKFZP779J2370	0	0	2121
DKFZP779L1853	0	0	3644
DLEU1	0	0	641065
DLEU2L	0	0	817
DLEU7	0	0	132931
DLX1	0	0	4937
DMRTC1	0	0	5839
DMRTC1B	0	0	71793
DMTN	0	0	33532
DNAH10OS	0	0	8560
DNAH11	0	0	358624
DNAH17	0	0	153698
DNAH17-AS1	0	0	4227
DNAJB11	0	0	29869
DNAJB14	0	0	50478
DNAL4	0	0	15690
DNMT3A	0	0	109614
DOC2B	0	0	25617
DOCK1	0	0	656803
DPCD	0	0	39108
DPCR1	0	0	10160
DPH6	0	0	328848
DPH7	0	0	24031
DPM3	0	0	704
DPP6	0	0	1101813
DQ-A1	0	0	6222
DRB4	0	0	14948
DRC1	0	0	54795
DRD2	0	0	66095
DSCR3	0	0	44541
DSCR4	0	0	169726
DSCR8	0	0	66565
DTD1	0	0	176024
DUS2	0	0	91574
DUS4L	0	0	14977
DUSP14	0	0	23666
DUT	0	0	12362
DUX4	0	0	12168
DUX4L2	0	0	1559
DUX4L3	0	0	1282
DUX4L4	0	0	1276
DUX4L5	0	0	1282
DUX4L6	0	0	1500
DUX4L7	0	0	1500
DXO	0	0	2482
DYDC2	0	0	23328
DYNLL1	0	0	28643
DYNLL2	0	0	12121
DYNLT3	0	0	10880
E2F3	0	0	91543
EBAG9	0	0	26285
EBLN1	0	0	1207
EBLN2	0	0	1678
EBPL	0	0	30752
ECSCR	0	0	58083
EDARADD	0	0	136652
EDDM3A	0	0	2488
EDDM3B	0	0	2521
EDRF1	0	0	44628
EEF1B2	0	0	3343
EEF1E1-BLOC1S5	0	0	86804
EFCAB10	0	0	35755
EFCAB12	0	0	27330
EFCAB5	0	0	179252
EFCAB8	0	0	102277
EFCAB9	0	0	9280
EFEMP1	0	0	58172
EFHC2	0	0	195790
EFNA4	0	0	5822
EGFR	0	0	237599
EGR4	0	0	2775
EHMT1	0	0	251024
EI24	0	0	15463
EID1	0	0	2297
EID3	0	0	1463
EIF1AD	0	0	5631
EIF1AY	0	0	17429
EIF2S3L	0	0	17533
EIF3H	0	0	124795
EIF3I	0	0	9676
EIF4E	0	0	58953
EIF4EBP3	0	0	1912
EIF5AL1	0	0	3831
ELANE	0	0	5228
ELAVL3	0	0	29720
ELAVL4	0	0	155772
ELFN1	0	0	59835
ELOF1	0	0	8089
ELOVL1	0	0	4628
EMG1	0	0	33112
EMP3	0	0	9044
ENDOV	0	0	22921
ENHO	0	0	2001
ENO4	0	0	62276
EP400NL	0	0	44201
EPB41L4A-AS2	0	0	1030
EPPK1	0	0	13135
ERBB2	0	0	42512
ERCC6-PGBD3	0	0	24337
EREG	0	0	23608
ERICH2	0	0	15185
ERLIN2	0	0	22502
ERMARD	0	0	29962
ERVFRD-1	0	0	9243
ERVMER34-1	0	0	29022
ERVV-1	0	0	2201
ERVV-2	0	0	6338
ERVW-1	0	0	9606
ETNPPL	0	0	21014
ETV1	0	0	100197
ETV2	0	0	3126
ETV3L	0	0	7764
EXOC3	0	0	28779
EXOSC9	0	0	15704
EZH2	0	0	76938
F8A1	0	0	1700
F8A2	0	0	1700
F8A3	0	0	1700
FABP5	0	0	4414
FABP7	0	0	4599
FABP9	0	0	3238
FADS6	0	0	16280
FAM101B	0	0	5961
FAM103A1	0	0	4850
FAM106A	0	0	2280
FAM115A	0	0	50823
FAM117A	0	0	78848
FAM11A	0	0	35167
FAM127A	0	0	1243
FAM127B	0	0	1264
FAM132B	0	0	9918
FAM134C	0	0	31110
FAM150A	0	0	31470
FAM156A	0	0	11156
FAM156B	0	0	17251
FAM159A	0	0	36339
FAM162B	0	0	13523
FAM167B	0	0	1623
FAM168B	0	0	45584
FAM170B	0	0	2854
FAM180A	0	0	20498
FAM180B	0	0	2548
FAM182B	0	0	104759
FAM183A	0	0	11243
FAM183B	0	0	1691
FAM187A	0	0	5623
FAM188B2	0	0	23257
FAM193B	0	0	34753
FAM195A	0	0	6661
FAM196A	0	0	60728
FAM197Y1	0	0	10452
FAM19A1	0	0	541417
FAM203A	0	0	3074
FAM203B	0	0	2955
FAM205A	0	0	6412
FAM206A	0	0	16563
FAM213A	0	0	25168
FAM213B	0	0	4978
FAM215A	0	0	750
FAM216A	0	0	22021
FAM219A	0	0	60386
FAM21D	0	0	4094
FAM223B	0	0	707
FAM227A	0	0	78509
FAM228B	0	0	93113
FAM229A	0	0	3008
FAM229B	0	0	15191
FAM230A	0	0	24500
FAM231A	0	0	509
FAM231B	0	0	509
FAM231C	0	0	509
FAM231D	0	0	631
FAM25B	0	0	4477
FAM25C	0	0	8169
FAM25E	0	0	2160
FAM25G	0	0	4474
FAM26D	0	0	29857
FAM27A	0	0	1167
FAM27B	0	0	1173
FAM27C	0	0	1169
FAM27D1	0	0	2446
FAM27E1	0	0	1340
FAM27E2	0	0	1337
FAM27E3	0	0	1680
FAM32A	0	0	6666
FAM47E-STBD1	0	0	59408
FAM58A	0	0	11250
FAM60A	0	0	46474
FAM71D	0	0	39157
FAM71E2	0	0	8352
FAM72C	0	0	16698
FAM76A	0	0	37143
FAM86B1	0	0	12037
FAM86B2	0	0	11002
FAM89A	0	0	21288
FAM89B	0	0	1849
FAM90A26	0	0	6318
FAM9C	0	0	9064
FANCD2OS	0	0	26914
FAU	0	0	1845
FAXDC2	0	0	40761
FBLL1	0	0	1518
FBXL14	0	0	28172
FBXL17	0	0	523063
FBXL7	0	0	439595
FBXO17	0	0	34506
FBXO42	0	0	105615
FBXO5	0	0	13050
FBXO9	0	0	48882
FBXW7	0	0	214843
FCF1	0	0	23547
FCGR1C	0	0	8785
FERD3L	0	0	639
FGF12	0	0	628369
FGF13	0	0	591204
FGF14	0	0	681990
FGF16	0	0	3121
FGFR3	0	0	15565
FHAD1	0	0	153011
FHL5	0	0	54088
FKBP11	0	0	4956
FKBP1B	0	0	13980
FKBP1C	0	0	1578
FKBP3	0	0	19719
FKSG48	0	0	374
FKSG52	0	0	374
FKSG61	0	0	374
FKSG62	0	0	627
FKSG63	0	0	380
FKSG68	0	0	374
FLJ00104	0	0	7541
FLJ00273	0	0	434
FLJ00325	0	0	266
FLJ00388	0	0	311
FLJ00418	0	0	4169
FLJ20306	0	0	1951
FLJ20373	0	0	2195
FLJ27365	0	0	60059
FLJ45079	0	0	3550
FLT3	0	0	97318
FMO6P	0	0	23828
FNBP1L	0	0	106530
FO393434.1	0	0	269
FOLR3	0	0	25021
FOLR4	0	0	2128
FOXD1	0	0	3698
FOXD4L2	0	0	3108
FOXI2	0	0	3951
FOXL2	0	0	2916
FOXO4	0	0	7338
FOXO6	0	0	21668
FOXR2	0	0	2788
FP15737	0	0	2817
FP700107.1	0	0	1360
FP885535.1	0	0	13458
FRAS1	0	0	486699
FREM3	0	0	123373
FRG1B	0	0	22153
FRG2C	0	0	2874
FRMPD3	0	0	82801
FSBP	0	0	58575
FSHB	0	0	4245
FSIP2	0	0	94662
FTCDNL1	0	0	90629
FTSJ1	0	0	10211
FXYD1	0	0	4301
FXYD7	0	0	11050
FZD4	0	0	9712
G2E3	0	0	60940
GABARAPL1	0	0	10670
GABARAPL3	0	0	1850
GABPB2	0	0	54964
GABRG3	0	0	561944
GADD45B	0	0	2137
GAGE12B	0	0	116
GAGE12D	0	0	7327
GAGE12F	0	0	7329
GAGE12H	0	0	7318
GAGE12I	0	0	7284
GAGE1	0	0	9511
GALNT1	0	0	130717
GALNT4	0	0	6854
GAREML	0	0	16572
GATA1	0	0	7754
GATA5	0	0	12473
GATSL1	0	0	59720
GATSL2	0	0	60010
GBE1	0	0	272462
GCG	0	0	9522
GCGR	0	0	9881
GCH1	0	0	60844
GCHFR	0	0	3688
GCLM	0	0	24205
GCNT6	0	0	13508
GCNT7	0	0	34433
GDAP1L1	0	0	33126
GDE1	0	0	20452
GDNF	0	0	27009
GDPD1	0	0	55500
GFER	0	0	3542
GFY	0	0	5069
GGCT	0	0	54858
GGNBP1	0	0	5288
GGPS1	0	0	17182
GGT2	0	0	19664
GGTLC3	0	0	1822
GHRL	0	0	7272
GID4	0	0	29112
GINS1	0	0	44901
GJD3	0	0	2832
GJE1	0	0	2061
GK5	0	0	62035
GKN2	0	0	7738
GLOD5	0	0	11898
GLRX5	0	0	11221
GLT8D1	0	0	11543
GMDS	0	0	621885
GMNC	0	0	39552
GNA11	0	0	29594
GNA13	0	0	46124
GNAQ	0	0	315371
GNAS	0	0	71474
GNB1	0	0	105766
GNG10	0	0	8911
GNG3	0	0	1543
GNG4	0	0	103067
GNG5	0	0	8240
GNG5P2	0	0	501
GNG7	0	0	191490
GNG8	0	0	609
GNGT2	0	0	7783
GNPNAT1	0	0	16474
GOLGA6C	0	0	11600
GOLGA6L18	0	0	8721
GOLGA6L19	0	0	6819
GOLGA6L1	0	0	9756
GOLGA6L20	0	0	9375
GOLGA6L2	0	0	7736
GOLGA6L4	0	0	9595
GOLGA6L9	0	0	9115
GOLGA8F	0	0	13360
GOLGA8G	0	0	13356
GOLGA8H	0	0	10435
GOLGA8I	0	0	13581
GOLGA8J	0	0	10544
GOLGA8K	0	0	10413
GOLGA8M	0	0	36430
GOLGA8N	0	0	10522
GOLGA8O	0	0	10528
GOLGA8Q	0	0	10521
GOLGA8R	0	0	10520
GOLGA8S	0	0	12483
GOLGA8T	0	0	10418
GORAB	0	0	21317
GP1BA	0	0	2733
GPALPP1	0	0	44059
GPATCH11	0	0	14793
GPER1	0	0	11607
GPR111	0	0	41361
GPR143	0	0	60951
GPR171	0	0	5369
GPR42	0	0	2024
GPR62	0	0	2179
GPR82	0	0	5980
GPR88	0	0	3881
GPR89B	0	0	65128
GPR89C	0	0	40505
GPX3	0	0	8430
GPX5	0	0	8939
GPX6	0	0	24919
GRAMD1B	0	0	102138
GRAP	0	0	26964
GRAPL	0	0	31707
GREM2	0	0	122576
GRIA3	0	0	306760
GRIK1-AS2	0	0	34707
GRINA	0	0	3332
GRK1	0	0	119238
GS1-259H13.10	0	0	49142
GS1-393G12.13	0	0	2381
GSAP	0	0	105649
GSK3B	0	0	273094
GSTCD	0	0	138950
GSTT2	0	0	3767
GTF2H2D	0	0	32624
GTF2H4	0	0	5922
GTF2H5	0	0	30992
GTPBP6	0	0	10861
GTSCR1	0	0	20225
GTSF1	0	0	17652
GVQW1	0	0	1832
GYPB	0	0	144587
GYPE	0	0	34696
H2AFB1	0	0	516
H2AFB2	0	0	516
H2AFB3	0	0	516
H2AFV	0	0	21292
H2AFZ	0	0	2302
H2BFM	0	0	28752
HAAO	0	0	25504
HAMP	0	0	4427
HBA1	0	0	842
HBA2	0	0	863
HBCBP	0	0	590
HBD	0	0	2692
HBE1	0	0	237265
HBEGF	0	0	13788
HBG1	0	0	1809
HBG2	0	0	392599
HBQ1	0	0	728
HCAR3	0	0	2136
HCG27	0	0	6208
HCST	0	0	1897
HDAC3	0	0	15994
HDGFRP2	0	0	29939
HEATR5A	0	0	128794
HECTD4	0	0	221904
HES7	0	0	3502
HEXIM2	0	0	9340
HHEX	0	0	7458
HHLA1	0	0	49673
HIATL2	0	0	115514
HIGD1B	0	0	4127
HIGD1C	0	0	16584
HIGD2B	0	0	10366
HILPDA	0	0	2569
HIPK2	0	0	231261
HIST1H2AC	0	0	14971
HIST1H2AG	0	0	2238
HIST1H2AI	0	0	530
HIST1H2AJ	0	0	495
HIST1H2BB	0	0	430
HIST1H3B	0	0	471
HIST1H3E	0	0	461
HIST1H3F	0	0	465
HIST1H3H	0	0	472
HIST1H4I	0	0	1342
HIST2H2AA3	0	0	477
HIST2H2AA4	0	0	548
HIST2H2AB	0	0	447
HIST2H2BE	0	0	2222
HIST2H2BF	0	0	29683
HIST2H3A	0	0	1655
HIST2H3C	0	0	1655
HIST2H3PS2	0	0	411
HIST2H4A	0	0	7118
HIST2H4B	0	0	7107
HIST3H2BB	0	0	451
HLA-ABC	0	0	7141
HLA-DOB	0	0	4285
HLA-DQB2	0	0	7436
HLA-DRB3$0301	0	0	13117
HLA-DRB3	0	0	13087
HLA-DRB4	0	0	14963
HM13	0	0	55139
HMCES	0	0	27358
HMCN2	0	0	262628
HMGA1	0	0	9358
HMGA2	0	0	142164
HMGB4	0	0	4316
HMGN2	0	0	3522
HMGN3	0	0	33444
HMGN4	0	0	7849
HMGXB3	0	0	52502
HMSD	0	0	32473
HNF1A	0	0	23969
HNRNPDL	0	0	7577
HNRNPH2	0	0	5838
HNRNPLL	0	0	41608
HNRNPUL2-BSCL2	0	0	37109
HOOK1	0	0	61592
HOXB4	0	0	4598
HRAS	0	0	5045
HRK	0	0	25297
HS3ST3B1	0	0	48321
HS3ST4	0	0	445662
hsa-mir-1199	0	0	2526
hsa-mir-150	0	0	833
HSFX1	0	0	2791
HSFX2	0	0	2802
HSFY1	0	0	42292
HSFY2	0	0	97222
HSH2D	0	0	24548
HSPA1A	0	0	2432
HSPA1B	0	0	2514
HSPB2-C11orf52	0	0	14135
HSPB8	0	0	42489
